Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,
EAGLW,Double Eagle Acquisition Corp.,0.329,na,2015,Finance,Business Services,http//www.nasdaq.com/symbol/eaglw,
DRWI,DragonWave Inc,2.97,$16.19M,2009,Public Utilities,Telecommunications Equipment,http//www.nasdaq.com/symbol/drwi,
DWA,Dreamworks Animation SKG Inc,40.97,$3.55B,2004,Consumer Services,Movies/Entertainment,http//www.nasdaq.com/symbol/dwa,
DRYS,DryShips Inc.,1.04,$1.94M,2005,Transportation,Marine Transportation,http//www.nasdaq.com/symbol/drys,
DSKX,DS Healthcare Group Inc,0.6699,$12.88M,na,Consumer Non-Durables,Package Goods/Cosmetics,http//www.nasdaq.com/symbol/dskx,
DSPG,DSP Group Inc,10.83,$237.11M,1994,Technology,Semiconductors,http//www.nasdaq.com/symbol/dspg,
DTSI,DTS Inc,32.87,$579.8M,2003,Miscellaneous,Multi-Sector Companies,http//www.nasdaq.com/symbol/dtsi,
DLTH,Duluth Holdings Inc.,28.68,$928.34M,2015,Consumer Services,Clothing/Shoe/Accessory Stores,http//www.nasdaq.com/symbol/dlth,
DNKN,Dunkin' Brands Group Inc,47.4,$4.35B,2011,Consumer Services,Restaurants,http//www.nasdaq.com/symbol/dnkn,
DRRX,Durect Corporation,1.91,$262.45M,2000,Health Care,Major Pharmaceuticals,http//www.nasdaq.com/symbol/drrx,
DXPE,DXP Enterprises Inc,29.77,$429.57M,na,Capital Goods,Industrial Machinery/Components,http//www.nasdaq.com/symbol/dxpe,
BOOM,Dynamic Materials Corporation,11.91,$172.37M,na,Capital Goods,Industrial Specialties,http//www.nasdaq.com/symbol/boom,
DYSL,Dynasil Corporation of America,1.19,$19.99M,na,Capital Goods,Industrial Machinery/Components,http//www.nasdaq.com/symbol/dysl,
DYNT,Dynatronics Corporation,2.8699,$7.96M,na,Health Care,Biotechnology Electromedical & Electrotherapeutic Apparatus,http//www.nasdaq.com/symbol/dynt,
DVAX,Dynavax Technologies Corporation,15.94,$613.64M,2004,Health Care,Major Pharmaceuticals,http//www.nasdaq.com/symbol/dvax,
ETFC,E*TRADE Financial Corporation,25.39,$6.95B,na,Finance,Savings Institutions,http//www.nasdaq.com/symbol/etfc,
EBMT,Eagle Bancorp Montana Inc,14.33,$54.16M,na,Finance,Savings Institutions,http//www.nasdaq.com/symbol/ebmt,
EGBN,Eagle Bancorp Inc,51.33,$1.72B,na,Finance,Major Banks,http//www.nasdaq.com/symbol/egbn,
EGLE,Eagle Bulk Shipping Inc.,5.56,$104.55M,na,Transportation,Marine Transportation,http//www.nasdaq.com/symbol/egle,
EGRX,Eagle Pharmaceuticals Inc,61.84,$966.95M,2014,Health Care,Major Pharmaceuticals,http//www.nasdaq.com/symbol/egrx,
ELNK,EarthLink Holdings Corp.,6.36,$670.95M,na,Technology,Computer Software Programming Data Processing,http//www.nasdaq.com/symbol/elnk,
EWBC,East West Bancorp Inc,34.44,$4.96B,na,Finance,Major Banks,http//www.nasdaq.com/symbol/ewbc,
EACQ,Easterly Acquisition Corp.,9.88,$247M,2015,Capital Goods,Building Products,http//www.nasdaq.com/symbol/eacq,
