Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,
BTX,BioTime Inc,3.17,$327.75M,na,Health Care,Biotechnology Biological Products (No Diagnostic Substances),http//www.nasdaq.com/symbol/btx,
BGI,Birks Group Inc.,2.224,$39.94M,na,Consumer Services,Consumer Specialties,http//www.nasdaq.com/symbol/bgi,
BZM,BlackRock Maryland Municipal Bond Trust,15.9,$33.02M,2002,na,na,http//www.nasdaq.com/symbol/bzm,
MHE,BlackRock Massachusetts Tax-Exempt Trust,15.44,$36.53M,1993,na,na,http//www.nasdaq.com/symbol/mhe,
BLE,BlackRock Municipal Income Trust II,16.43,$385.62M,2002,na,na,http//www.nasdaq.com/symbol/ble,
BLJ,Blackrock New Jersey Municipal Bond Trust,17.14,$39.85M,2002,na,na,http//www.nasdaq.com/symbol/blj,
BFY,BlackRock New York Municipal Income Trust II,17.59,$87.93M,2002,na,na,http//www.nasdaq.com/symbol/bfy,
BHV,BlackRock Virginia Municipal Bond Trust,20.5701,$32.82M,2002,na,na,http//www.nasdaq.com/symbol/bhv,
BDR,Blonder Tongue Laboratories Inc,0.61,$4.13M,na,Technology,Radio And Television Broadcasting And Communications Equipment,http//www.nasdaq.com/symbol/bdr,
BRG,Bluerock Residential Growth REIT Inc,13.6,$266.09M,2014,Consumer Services,Real Estate Investment Trusts,http//www.nasdaq.com/symbol/brg,
BVX,Bovie Medical Corporation,3.06,$83.21M,na,Health Care,Medical_Dental Instruments,http//www.nasdaq.com/symbol/bvx,
BTI,British American Tobacco p.l.c.,129.04,$120.29B,na,Consumer Non-Durables,Farming/Seeds/Milling,http//www.nasdaq.com/symbol/bti,
CANF,Can-Fite Biopharma Ltd,2.21,$30.58M,na,Health Care,Major Pharmaceuticals,http//www.nasdaq.com/symbol/canf,
ROX,Castle Brands Inc,0.8601,$138.18M,2006,Consumer Non-Durables,Beverages (Production/Distribution),http//www.nasdaq.com/symbol/rox,
CAW,CCA Industries Inc,3.11,$21.79M,na,Consumer Non-Durables,Package Goods/Cosmetics,http//www.nasdaq.com/symbol/caw,
CVM,Cel-Sci Corporation,0.5099,$74.11M,na,Health Care,Biotechnology Biological Products (No Diagnostic Substances),http//www.nasdaq.com/symbol/cvm,
CEF,Central Fund of Canada Limited,14.21,$3.62B,na,na,na,http//www.nasdaq.com/symbol/cef,
CET,Central Securities Corporation,20.71,$507.53M,na,na,na,http//www.nasdaq.com/symbol/cet,
LEU,Centrus Energy Corp.,3.58,$32.22M,2014,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http//www.nasdaq.com/symbol/leu,
CCF,Chase Corporation,61.41,$569.7M,na,Consumer Durables,Building Products,http//www.nasdaq.com/symbol/ccf,
